baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G70420	28009.4938812158	-1.13749148683982	0.299983801839473	-3.79184302573948	0.00014953342470758	0.02356754101097
AT1G71390	61.2450307343233	1.46485267567946	0.415826445775888	3.52275015348339	0.000427093776327395	0.0425951548786054
AT1G73120	1914.51246103631	-1.84302426351959	0.449542206141371	-4.09978026165579	4.13542599185581e-05	0.0102955894081871
AT1G77885	7048.93324849924	-1.04539746531075	0.241592257732144	-4.32711492960917	1.51075142454161e-05	0.00532508834313427
AT1G78390	94.4192464261978	-1.68621320093066	0.414501824185635	-4.06804772028093	4.74086737601468e-05	0.0110897507683849
AT5G07480	21.2758743053271	-2.92005921141235	0.771911205793706	-3.78289522097279	0.000155014680467135	0.0236951630415199
AT5G11140	2076.19110391522	-1.45061597770876	0.281184369850981	-5.15894954786264	2.48339213422463e-07	0.000255600652022936
AT5G16980	3019.52506558643	-1.24532281852864	0.348364942024367	-3.57476504751598	0.000350542544174182	0.0369664352628929
AT5G20240	14679.6355146378	-1.35398974239638	0.329226187272822	-4.11264290247469	3.91155191884184e-05	0.00996516261620985
AT5G24210	11499.0379507103	1.65059666477333	0.425260200984091	3.88138053115176	0.000103865172686786	0.0180578024216465
AT5G04205	47.1597727297929	-1.48535578988335	0.401482848869313	-3.69967432996585	0.00021587631012194	0.0287475136761952
AT5G36140	590.755393247722	2.4227365195939	0.603648782199499	4.0134869663221	5.98283075398956e-05	0.0128286848442421
AT5G45573	99.9030168996802	-1.83895636753674	0.515378773770913	-3.56816473849224	0.000359490463188737	0.037449591531617
AT5G47175	363.710587883953	-1.26437634039985	0.353209603611949	-3.57967713071851	0.000344018995160411	0.0364277891542079
AT5G47280	81.8110775247218	-1.85360320889248	0.464915103429129	-3.9869713743878	6.69220962778093e-05	0.0138868746719702
AT5G48110	4631.87544810163	-1.54655256533895	0.316347663374482	-4.88877505476685	1.01465355502966e-06	0.000639097110333136
AT5G51470	818.308634749451	-1.03879788492537	0.215898437080963	-4.81151183385277	1.4979286352083e-06	0.000896353528198716
AT5G56400	108.559403731355	-1.24281978061035	0.292900058101938	-4.24315306956277	2.20400991514629e-05	0.00681225496599663
AT5G65165	395.090354453053	-1.08632663711406	0.189557443153724	-5.73085719579521	9.99243667515006e-09	2.8568376454254e-05
AT5G66650	8207.00146946438	-1.05170666453396	0.291397353319819	-3.60918399756251	0.000307161692829472	0.0346648136762945
AT5G66660	211.999209844348	-1.18388938549083	0.236383754191931	-5.00833650577178	5.49024841823646e-07	0.000417327166846556
AT3G02480	305.431738512647	-1.33421657922329	0.208506278210424	-6.39892760388157	1.56472005364091e-10	2.01309058501171e-06
AT3G07255	193.518038917375	-1.05488314314962	0.279053657572363	-3.78021615027955	0.000156692267012252	0.023716757191131
AT3G10950	37.0231681745394	-1.53767162274655	0.420824719091649	-3.65394795739571	0.000258238632742726	0.031229803368268
AT3G13280	602.220951321247	-1.2767465187318	0.246226200421192	-5.18525858153116	2.15715355422035e-07	0.000231273825431849
AT3G14540	612.287207758151	-1.57280076733254	0.276573886772408	-5.68672908960052	1.29495634733436e-08	3.33205217732605e-05
AT3G15670	95.1377989687605	-1.52035890280984	0.406845231098144	-3.73694659933985	0.000186268463277807	0.0265968593114317
AT3G19560	78.8788014055608	-1.07980161932151	0.27549734772368	-3.91946284871146	8.87465393574264e-05	0.0165774637012778
AT3G19610	71.2450500817075	-1.41341672455869	0.392139226594716	-3.60437474422696	0.000312905306804077	0.0347041657300677
AT3G20840	879.910650662856	-1.06516453089795	0.214502923931916	-4.96573431901577	6.84415995534685e-07	0.000489186332808416
